ticker,volume,vwap,open,close,high,low,timestamp,trade_count,price_change,volatility,volume_surge,rsi,macd_line,macd_signal,macd_diff,adx,atr,buy_signal,mfi,ticker_encoded
GBIO,275541.0,0.5486,0.58,0.5434,0.5866,0.5308,1970-01-01 00:29:02.414400,772.0,-0.06310344827586202,0.1051243406179351,2.0638074765375136,47.00732414942151,-6.119606638448534,-5.102151756129912,-1.0174548823186225,4.684846709519543,39.667057112529605,1,0,0
STSS,1949001.0,0.325,0.325,0.3182,0.3444,0.313701,1970-01-01 00:29:02.414400,2312.0,-0.02092307692307701,0.09786070175103036,4.613264703264742,47.0538617922548,-5.861988877831074,-8.004855383479223,2.142866505648149,3.254341706984086,36.79590923820463,1,0,0
XFOR,1077942.0,0.2966,0.295,0.2996,0.3028,0.28715,1970-01-01 00:29:02.414400,3107.0,0.015593220338983027,0.05450113181264146,2.059505722600604,46.98577009195923,-7.108022798098702,-4.277846748340942,-2.8301760497577595,3.946411399585575,31.324070516894135,0,0,0
VXRT,915276.0,0.5759,0.5731,0.584,0.59,0.5601,1970-01-01 00:29:02.414400,2112.0,0.01901936834758316,0.053383324406355875,3.7387259323163797,47.199696182416425,-5.281749750940236,-2.9173451815804015,-2.3644045693598343,4.510613180306503,31.19155421407824,0,0,0
FGEN,1662527.0,0.3491,0.35,0.3577,0.367,0.34,1970-01-01 00:29:02.414400,2033.0,0.022000000000000117,0.07941176470588225,3.9400351789066854,47.8054432975365,-13.827078094588131,1.1511304268970148,-14.978208521485147,5.302475578650324,103.51990387274994,0,0,0
HUBC,1106980.0,0.566,0.5237,0.5796,0.6298,0.502,1970-01-01 00:29:02.414400,2772.0,0.10674050028642341,0.25458167330677295,1.4520691769334317,47.64985660402348,-3.2411698500213433,-3.4263321921853134,0.1851623421639701,4.08141427003286,68.5873307866517,1,0,0
NOVA,15602045.0,0.3884,0.378,0.3698,0.4284,0.3645,1970-01-01 00:29:02.414400,22553.0,-0.021693121693121653,0.17530864197530868,4.610249202723496,47.411251195467884,-3.1571327952948636,-1.4357124678809159,-1.7214203274139477,4.0199004108451675,66.1482009293678,1,0,0
ERNA,84016.0,0.2653,0.275,0.2769,0.2769,0.2601,1970-01-01 00:29:02.414400,167.0,0.006909090909090753,0.06459054209919254,1.2623772046074002,48.041348871522864,65.27135411744013,43.30401720458068,21.967336912859444,7.486042065651135,333.1685746052655,1,0,0
CGTX,465671.0,0.4418,0.4422,0.45,0.4578,0.426,1970-01-01 00:29:02.414400,1021.0,0.017639077340569943,0.07464788732394365,2.970545307942956,47.692489321155534,-6.1186670677324635,-6.34556591101884,0.2268988432863761,3.7731741812434207,60.514248143355225,1,0,0
WBX,374007.0,0.3475,0.368,0.3416,0.39,0.33,1970-01-01 00:29:02.414400,1173.0,-0.07173913043478256,0.1818181818181818,1.8812623738471197,47.567634020961066,6.407019289560317,4.2160128062253746,2.1910064833349425,5.480279753738674,81.73345026557556,1,0,0
